x,y,Habitat,JunJul,DJF,AprMay
5121.,5065.,Co,11.995,-10.824,2.245345
5013.,4439.,Co,14.706,-5.9078,6.2586
5083.,5043.,Co,12.001,-11.373,1.87765
5073.,5121.,Co,11.596,-10.128,2.107705
5011.,5133.,Co,11.604,-10.981,2.00125
5131.,4441.,Co,15.456,-6.6051,6.49325
5045.,4615.,Urb,14.495,-7.2815,5.69575
5169.,4245.,Br,16.63,-3.6475,7.6157
5057.,4983.,Co,12.899,-10.683,2.992305
4965.,5137.,Co,10.963,-11.381,1.26675
5017.,4981.,Co,12.732,-11.06,2.813385
4955.,5035.,Br,12.611,-11.163,2.85198
5211.,4575.,Co,15.803,-7.5069,6.1027
4921.,4959.,Co,13.339,-11.056,3.741165
4965.,4593.,Ma,14.563,-4.9774,5.51715
5139.,4415.,Br,15.585,-6.2243,6.5872
4893.,4515.,Ma,15.317,-4.1213,6.3404
5141.,4393.,Br,15.842,-5.7315,6.5131
5089.,4899.,Co,13.54,-10.159,3.63433
4953.,5049.,Co,12.611,-11.163,2.85198
5067.,4537.,Co,14.775,-6.9087,5.8847
5271.,4735.,Co,14.268,-9.6444,4.40614
5055.,4189.,Urb,15.899,-2.8434,6.93625
5295.,4667.,Co,14.531,-9.1857,4.799
4949.,4273.,Co,15.121,-2.5899,6.253
5129.,4421.,Br,15.498,-6.2509,6.53115
5087.,5079.,Co,11.787,-11.205,1.7065
4939.,4313.,Co,15.342,-3.0449,6.66835
5053.,4217.,Urb,16.108,-3.6718,7.3952
5075.,4919.,Co,13.354,-10.38,3.481063
5241.,4733.,Co,14.027,-9.5667,4.22484
5257.,4665.,Co,14.582,-8.9519,4.9636
5057.,4473.,Co,14.536,-6.6762,5.80875
5079.,5007.,We,12.77,-11.233,2.76318
5073.,4619.,Br,14.611,-7.4847,5.6924
5187.,4551.,We,15.8,-7.3051,6.3404
5249.,4635.,Br,14.971,-8.5716,5.41585
5113.,4731.,Co,14.486,-8.559,4.9067
5353.,4435.,We,15.642,-6.7505,6.3797
5097.,4497.,Co,15.033,-6.7736,6.1288
5211.,4393.,We,15.891,-6.3885,6.86735
5075.,4853.,Co,13.85,-9.4937,3.95736
4999.,4995.,Co,12.877,-11.014,3.030665
5251.,4349.,Co,16.616,-5.764,7.37525
4925.,5053.,Co,11.858,-10.751,2.157625
5133.,4881.,Co,13.284,-10.246,3.27728
4945.,4879.,Br,13.838,-10.111,4.115925
4889.,4159.,Ma,15.267,-0.71243,6.445
5337.,4461.,We,15.915,-7.1252,6.02895
4951.,4903.,Br,13.798,-10.305,4.09123
5115.,4635.,We,14.723,-7.7617,5.6772
5027.,4261.,Urb,15.864,-4.2987,7.3633
5147.,4565.,We,15.218,-7.4099,6.0563
4963.,4473.,Op,15.296,-5.3322,6.68805
4977.,4307.,Co,15.797,-3.895,7.32455
5269.,4561.,Br,15.015,-8.2668,5.43845
5203.,4445.,Br,15.634,-6.801,6.7225
5145.,4501.,Co,15.39,-6.9835,6.32835
5279.,4681.,Co,14.595,-9.2583,4.8501
5123.,4731.,Co,14.393,-8.6751,4.80365
4981.,5003.,Co,12.877,-11.014,3.030665
5171.,4647.,Co,14.898,-8.0098,5.60855
